cities,cloudiness,country,date,humidity,lat,lon,temp_max,temp_min,wind_speed
vaini,40,IN,1577927255,93,15.34,74.49,289.15,289.15,1.01
mataura,94,NZ,1577927249,76,-46.19,168.86,288.75,288.75,1.8
thompson,90,CA,1577927266,84,55.74,-97.86,259.15,259.15,1.5
qaanaaq,100,GL,1577927259,95,77.48,-69.36,236.35,236.35,2.87
kapaa,1,US,1577927263,57,22.08,-159.32,300.15,300.15,4.6
